03/07/2019 18:47:33: INFO: Calibrating joint 0.
03/07/2019 18:47:33: INFO: Motor control box disconnected.
03/07/2019 18:47:33: INFO: Motor control box connected to /dev/ttyUSB0.
03/07/2019 18:47:35: INFO: Arm Reset.
03/07/2019 18:47:35: INFO: Arm is Currently Calibrating.
03/07/2019 18:47:36: INFO: Calibrating joint 5.
03/07/2019 18:47:38: INFO: Calibrating joint 4.
03/07/2019 18:47:39: INFO: Calibration of joint 4 complete.
03/07/2019 18:47:39: INFO: Calibrating joint 3.
03/07/2019 18:47:42: INFO: Calibrating joint 2.
03/07/2019 18:47:48: INFO: Calibrating joint 1.
03/07/2019 18:47:50: INFO: Calibrating joint 0.
03/07/2019 18:47:56: INFO: Python recognises that arm is fully calibrated.
03/07/2019 18:47:56: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:56: INFO: Moving motor 0 to position 30 degrees
03/07/2019 18:47:56: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:56: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:57: INFO: Moving motor 0 to position 32 degrees
03/07/2019 18:47:57: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 300 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 320 degrees.
03/07/2019 18:47:57: INFO: Joint 0 moved to 300 degrees.
